"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","comparison","status"
"CYBC1",1.69478672719978e-118,10.4733814638344,0.043,0,4.69693193576147e-114,"CYBC1","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"SH2D2A",3.25910521368142e-116,1.42775080610272,0.263,0.154,9.03228418919669e-112,"SH2D2A","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"ZFP36",5.25648900353952e-116,1.2812618207283,0.587,0.463,1.45678336244094e-111,"ZFP36","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"ATP5MC1",3.38484845369672e-115,10.342125134512,0.042,0,9.38076900457508e-111,"ATP5MC1","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"NME2",4.42423101061438e-115,2.44003691660903,0.087,0.021,1.22613138228167e-110,"NME2","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"AC004687.1",1.05129217638134e-109,10.4630023697489,0.04,0,2.91355113762324e-105,"AC004687.1","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"NORAD",9.91546898574456e-108,10.459667905999,0.039,0,2.74797307470925e-103,"NORAD","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"LDHA",5.72702222666868e-107,1.19603647790509,0.575,0.477,1.58718693989896e-102,"LDHA","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"WASHC1",3.18652596154614e-104,10.2816930319014,0.038,0,8.83113804982897e-100,"WASHC1","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"SELENOM",1.01395018287717e-100,10.251652546232,0.037,0,2.8100615368258e-96,"SELENOM","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"AL118516.1",4.59510330825258e-100,10.3467847901902,0.037,0,1.27348693084912e-95,"AL118516.1","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"INTS11",4.59510332354457e-100,10.0968482689302,0.037,0,1.27348693508714e-95,"INTS11","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"OTULINL",3.19472731861953e-97,10.2010286936275,0.036,0,8.85386729082218e-93,"OTULINL","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
"SMIM37",3.19472736110306e-97,10.1141300693968,0.036,0,8.85386740856102e-93,"SMIM37","AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","upregulated in diseased group"
