"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","comparison","status","gene"
0.343361504932593,-0.138542242483751,0.818,1,1,"AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","No significant fold change","ZER1"
0.343387982330572,-0.160277507322088,0.955,1,1,"AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","No significant fold change","USP33"
0.3434351982644,-0.197107909306746,0.636,0.889,1,"AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","No significant fold change","C5orf30"
0.343465331119547,-0.096430829086815,0.818,1,1,"AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","No significant fold change","FARS2"
0.343481380333316,-0.303519132544142,0.182,0.278,1,"AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","No significant fold change","HOXA4"
0.343568916904857,-0.58611195494587,0.5,0.778,1,"AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","No significant fold change","mouseIgG1-kappaisotypeCtrl"
0.343588092210469,-0.204833508541769,0.864,1,1,"AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","No significant fold change","ZCCHC3"
0.343600876001067,-0.309629353567967,0.409,0.667,1,"AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","No significant fold change","RP11-424G14.1"
0.343639727344163,-0.320951564078569,0.227,0.389,1,"AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","No significant fold change","NIPSNAP3B"
0.343699980099024,-0.305395939336626,0.318,0.556,1,"AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","No significant fold change","PRSS16"
0.343712975861111,-0.0215526900965468,0.909,1,1,"AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","No significant fold change","C12orf45"
0.343751870813978,-0.324185832943891,0.864,1,1,"AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","No significant fold change","GABPA"
0.343773519795752,-0.296843259985078,0.682,1,1,"AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","No significant fold change","CERS6"
0.343796937311312,-0.244387580588436,0.091,0,1,"AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","No significant fold change","AL050344.1"
0.343796937311312,-0.244387580588436,0.091,0,1,"AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","No significant fold change","AL162231.2"
0.343796937311312,-0.244387580588436,0.091,0,1,"AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","No significant fold change","AC044839.1"
0.343837969665239,-0.2971263832598,0.591,0.944,1,"AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","No significant fold change","APTR"
0.343856912890169,-0.28907035690482,0.136,0.333,1,"AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","No significant fold change","AC007192.6"
0.343860993140886,-0.312950740581367,0.364,0.556,1,"AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","No significant fold change","CDK18"
0.343876680494803,-0.290282395387314,0.136,0.278,1,"AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","No significant fold change","SEC14L6"
0.343920143233914,-0.280490913583431,0.182,0.167,1,"AS_Group_MemoryCD4_vs_Healthy_MemoryCD4","No significant fold change","CTD-2047H16.5"
